,title,description,release_year,runtime,genres,production_countries,imdb_score
303,The Lost Okoroshi,haunt dream ancestr okoroshi masquerad disillus secur guard wake one morn find transform mute purpl spirit abba makama surrealist romp sprawl citi lago,2020,94,"['action', 'drama']",['NG'],5.8
304,Lift Like a Girl,intim journey inner life aspir athlet femal weightlift communiti alexandria  year zebiba goe victori defeat includ major loss shape find way dust gold,2020,93,['documentation'],"['DE', 'DK', 'EG']",7.8
305,Road to Roma,director alfonso cuarón reflect childhood memori period detail creativ choic shape academi awardwin film roma,2020,73,['documentation'],['MX'],7.7
306,Larry the Cable Guy: Remain Seated,larri cabl guy back git r done remain seat latest solo special show grammi nomin multiplatinum record artist billboard award winner top game come straight rialto squar theatr joliet il seat home,2020,67,['comedy'],['US'],6.6
307,Asphalt Goddess,max return slum turn vocalist rock band memori await latest news truth silent year sonia voic speak death,2020,126,['drama'],['MX'],4.9
308,Ben Platt: Live from Radio City Music Hall,back full band readi wit actor ben platt open person songbook onstag  number debut lp sing instead,2020,85,"['documentation', 'music']",['US'],
309,The Larva Island Movie,back home chuck relat island shenanigan larva pal red yellow skeptic report movi sequel hit cartoon,2020,89,"['animation', 'family', 'comedy']",['KR'],5.1
310,Ultras,age soccer fanat face realiti past struggl give young follow differ futur,2020,109,['drama'],['IT'],6.2
311,The Stand at Paxton County,militari veteran come home find father harass sheriff intent confisc livestock ranch shadi pretens,2020,102,"['thriller', 'drama']",['US'],6.3
312,Murder to Mercy - The Cyntoia Brown Story, cyntoia brown sentenc life prison question past physiolog law call guilt question,2020,96,['documentation'],['US'],6.3
313,Alex Fernández: The Best Comedian in the World,comic alex fernández perform familiar autobiograph stori goe littl deeper time tender tale one six sibl,2020,51,['comedy'],['MX'],6.1
314,Angela's Christmas Wish,determin angela make wish reunit famili time christma launch plan find way ireland australia,2020,47,"['animation', 'family', 'comedy', 'drama']","['US', 'IE']",7.1
315,Strain,famili man struggl keep famili happi unit son sudden diagnos sickl cell diseas must rais fund care sick child,2020,106,['drama'],[],5.6
316,Bulbbul,child bride grow enigmat woman presid household harbor pain past supernatur murder men plagu villag,2020,94,"['fantasy', 'horror', 'drama']",['IN'],6.5
317,Thiago Ventura: POKAS,rollick special thiago ventura joke life hood polit explain action speak louder word,2020,82,['comedy'],['BR'],6.4
318,Dolly Parton's Christmas on the Square,rich nasti woman return hometown evict everyon discov true mean christma thank local townsfolk – actual angel featur  origin song music lyric dolli parton,2020,98,"['comedy', 'music', 'family']",['US'],5.2
319,You've Got This,ad creativ success exec great marriag — want dad star rise bring someon new home,2020,111,"['romance', 'comedy']",['MX'],5.8
320,"Rob Schneider: Asian Momma, Mexican Kids",former saturday night live star rob schneider return stage share take life love dinosaur dream standup special end surpris duet perform daughter singersongwrit ell king rob talk potti train young daughter pig potenti,2020,44,['comedy'],['US'],5.5
321,Into the Beat,ballerina discov hiphop chanc face imposs choic pursu famili legaci newfound love,2020,102,"['music', 'romance', 'drama', 'european']",['DE'],5.3
322,The Three Deaths of Marisela Escobedo,follow mother tireless crusad jail daughter murder mexico justic system fail,2020,109,"['crime', 'documentation']",['MX'],8.1
323,John Was Trying to Contact Aliens,john shepherd spent  year tri contact extraterrestri broadcast music million mile space give search make differ connect earth,2020,16,['documentation'],['US'],
324,The Rope Curse 2,jiamin born sensit paranorm tri summon yiagu two streamer huog help jiamin subdu spirit situat goe hand huog possess supernatur power lost exorcis demon battl thai demon five year ago wave suicid continu villag thrown chao anoth battl begin,2020,104,['horror'],[],4.7
325,Night on Earth: Shot in the Dark,look behind scene show worldwid camera crew climb dive froze captur documentari groundbreak night footag,2020,59,['documentation'],[],7.7
326,Shikara,  lakh kashmiri pandit hindus forc leav home threat life till today continu live refuge countri small refuge camp citi jammu vidhu vinod chopra shikara follow stori shiv shanti two kashmiri pandit chronicl surviv  year exil current season hate love keep hope aliv,2020,118,"['drama', 'romance', 'history']",['IN'],3.3
327,Hating Peter Tatchell,power inspir true stori controversi human right campaign whose provoc act civil disobedi rock british establish revolutionis attitud homosexu expos world tyrant social attitud chang histori vindic peter stanc gay right david versus goliath battl gradual win status nation treasur film follow peter embark riskiest crusad yet seek disrupt fifa world cup moscow draw attent persecut lgbt peopl russia chechnya,2020,91,['documentation'],"['AU', 'GB']",7.6
328,The Boys in the Band: Something Personal,decad play first put gay life center stage mart crowley join cast  film reflect stori endur legaci,2020,28,['documentation'],['US'],7.2
329,Any Crybabies Around?,man caught live nation tv nake drunk middl sacr namahag festiv men dress ogrelik costum visit home scare kid behav next year tasuku young father ostrac shame villag tradit flee tokyo alon two year later return hometown make exwif littl daughter find face difficult situat,2020,106,['drama'],['JP'],6.0
330,Love,stori famili various situat navig husband wife,2020,91,"['thriller', 'drama']",['IN'],7.0
331,Making Unorthodox,documentari make netflix film unorthodox,2020,21,['documentation'],['DE'],
332,A Choo,even orphan wang yizhi alway love xinxin older yizhi decid train boxer allow profess love fall geeki comput engin secret popular superhero xinxin get kidnap yizhi must prove love fight skill get girl dream,2020,101,"['romance', 'comedy', 'action', 'fantasy']",['TW'],5.5
333,The Claus Family,discov grandfath santa claus jule help deliv present around world jule hatr christma might make difficult santa thought,2020,96,"['comedy', 'family', 'fantasy']",['BE'],5.5
334,Carmen Sandiego: To Steal or Not to Steal,drive action interact adventur help carmen save ivi zack vile captur heist shanghai,2020,31,"['animation', 'family', 'action']",['CA'],
335,Torbaaz,afghanistan refuge camp exarmi doctor seek bring children joy cricket soon realiz stake go beyond sport,2020,132,"['drama', 'thriller', 'action', 'sport']",['IN'],6.9
336,Sam Jay: 3 in the Morning,comedian saturday night live writer sam jay serv fresh take relationship travel nightmar audac white peopl,2020,64,['comedy'],[],6.4
337,Ma Rainey's Black Bottom: A Legacy Brought to Screen,viola davi denzel washington georg c wolf share heart soul histori brought august wilson timeless play screen,2020,31,['documentation'],['US'],
338,The Magic School Bus Rides Again: Kids in Space,magic school bus kid blast orbit  onto intern space station  find run giant tardigrad,2020,45,"['action', 'family', 'animation', 'comedy', 'scifi']",['CA'],6.1
339,Michelle Buteau: Welcome to Buteaupia,scenest queen michell buteau dazzl real talk relationship parenthood cultur differ govern worker ador,2020,58,['comedy'],[],7.0
340,Nasha Natasha,natalia oreiro stori absolut uniqu perform rio de la plata one latin american perform despit languag cultur barrier becom popular symbol differ countri czech republ poland russia israel film attempt uncov phenomenon,2020,83,"['documentation', 'music']",['UY'],6.3
341,Cops and Robbers,anim activ unit multimedia spokenword respons polic brutal racial injustic,2020,8,['animation'],['US'],6.9
342,Just Another Christmas,take nasti fall christma eve grinchi jorg black wake one year later memori year pass soon realiz he doom keep wake christma eve christma eve deal aftermath self done  day year,2020,101,"['comedy', 'drama']",['BR'],6.7
343,The Lockdown Plan,,2020,49,[],[],6.5
344,Miss India,uproot america aspir indian entrepreneur confront disapprov sexism rivalri draw cultur start tea busi,2020,136,['drama'],['IN'],
345,Dance Dreams: Hot Chocolate Nutcracker,documentari spotlight debbi allen career follow group danc student prepar allen annual hot chocol nutcrack reimagin classic ballet,2020,80,"['documentation', 'family']",['US'],7.0
346,Earth and Blood,sawmil owner teenag daughter becom tangl dead feud drug dealer stash stolen cocain remot properti,2020,80,"['action', 'thriller']","['BE', 'FR']",
347,So Much Love to Give,bigamist one famili bueno air mar del plata see life turn upsid wive discov hidden mani year unit take reveng,2020,108,['comedy'],['AR'],
348,Dragons: Rescue Riders: Hunt for the Golden Dragon,rescu rider ask find precious golden dragon egg keep safe evil pirat,2020,46,"['animation', 'action', 'comedy', 'family', 'fantasy']",['US'],5.1
349,Intuition,polic offic pipa work first big case simultan investig boss suspect murder prequel perdida,2020,116,"['thriller', 'crime', 'drama']",['AR'],5.5
350,Vir Das: For India,veda vasco de gama vacuous bollywood plotlin comedian vir das celebr histori india oneofakind perspect,2020,75,['comedy'],['IN'],7.7
351,True: Friendship Day,giant grippitygrab snag grizelda friendship bracelet turn mermaid true head sea magic wish save day,2020,23,"['animation', 'family']",['CA'],6.9
352,Shimla Mirchi,holiday avi meet naina fall love smitten decid stay work cafe confess love letter howev naina mother mistaken read,2020,129,"['romance', 'comedy']",['IN'],4.6
353,Felix Lobrecht: Hype,felix lobrecht aim dark humor over polit cultur weird laughter sheer awkward walk babi standup special,2020,59,['comedy'],['DE'],5.8
354,The Unknown Saint,moment captur polic thief dig grave hide bag money releas prison year later return retriev bag find shrine unknown saint build direct loot brand new villag construct around,2020,100,"['comedy', 'drama', 'crime']","['MA', 'FR', 'QA']",6.5
355,AK vs AK,public spat movi star  disgrac director retali kidnap actor daughter film search realtim,2020,108,"['drama', 'action', 'crime', 'thriller', 'comedy']",['IN'],6.9
356,Nneka the Pretty Serpent,parent murder nneka encount queen coast offer help reveal ident peopl kill parent chang cours life set mission reveng,2020,140,"['horror', 'thriller', 'fantasy']",['NG'],3.7
357,Varane Avashyamund,divorc woman tri get hire french tutor teach classic danc daughter brother manuel also resid flat chennai next door neighbour unnikrishnan retir major pet dog prabhakaran bibeesh live serialactress aunt relat blood young school go brother stori revolv around divorc mother daughter find happi love way film explor common romant love differ stage life,2020,145,"['comedy', 'family', 'romance', 'drama']",['IN'],6.9
358,U-Turn,u turn tell stori bud investig cop uncov new conspiraci bike gang,2020,120,"['thriller', 'horror']","['PS', 'PH']",4.4
359,Kappela,set villag area wayanad malappuram kannur kappela revolv around ordinari innoc girl come kozhikod citi high rang area call poovarmala,2020,113,"['romance', 'comedy']",['IN'],7.5
360,The Fisherman's Diary, old girl  ekah faith fidel inspir stori youngest nobl peac prize winner  malala yousafzai determin go school villag fisherman educ girl child consid taboo burn drive determin break old adag get embroil father  solomon kang quintus past experi girl child educ,2020,142,['drama'],['CM'],6.4
361,Fearless,teen gamer forc level fulltim babysitt favorit video game drop three superpow infant space backyard,2020,89,"['animation', 'family', 'scifi', 'documentation', 'comedy']",['CA'],4.9
362,Chaman Bahar,ambiti young man small town central india set paan shop flounder start fortun start chang dramat famili shift hous across road hord boy start follow teenag girl famili set adda billus shop busi flourish tremend billu unhappi ever fallen girl,2020,111,"['drama', 'comedy']",['IN'],6.9
363,Reframe THEATER EXPERIENCE with you,perfum refram  concert perform great effect newli reconstruct line cube shibuya recreat hightech concert film,2020,84,['music'],['JP'],
364,Whipped,four buddi attend class taught love guru lead question romant attach — hidden agenda come light,2020,97,"['drama', 'romance', 'comedy']",['ID'],4.0
365,Masameer: The Movie,danah saudi girl passion artifici intellig embark journey creat good world use robot meanwhil three friend saad saltooh kalb hit rock bottom go journey prove societi becom crime fight superhero,2020,112,"['animation', 'comedy', 'action', 'drama']",['SA'],5.9
366,Maska,determin make showbiz aspir young actor consid turn back belov irani café run famili generat,2020,111,"['comedy', 'drama', 'romance']",['IN'],5.9
367,Ginny Weds Sunny,delhi girl ginni live matchmak mother set sunni given idea love want get marri settl match simpl ginni meet sunni there lot come fore previous imagin tale love life wed music,2020,125,"['comedy', 'drama', 'romance']",['IN'],5.7
368,Dark City Beneath the Beat,dark citi beneath beat audiovisu experi defin soundscap baltimor citi inspir origin baltimor club music soundtrack film spotlight local club artist djs dancer produc baltimor bud creativ communiti realiz life dream rhythmic raw stori illustr uniqu characterist citi landscap social climat music poetri danc citi social climat creativ lgbtq communiti dark citi beneath beat showcas baltimor club music posit subcultur citi overshadow trauma drug violenc,2020,65,"['documentation', 'music']",['US'],6.6
369,Jezebel,true stori last day mother life  tiffani crash five famili member las vega studio apart order make end meet sister phone sex oper introduc world fetish cam girl,2020,88,['drama'],['US'],6.6
370,Kenny Sebastian: The Most Interesting Person in the Room,fuse music standup chop kenni sebastian get analyt frumpi footwear flightless bird fear funni enough,2020,67,['comedy'],['IN'],6.0
371,Father Soldier Son,sgt first class brian eisch critic wound afghanistan set son journey love loss redempt legaci,2020,99,"['war', 'documentation']",['US'],7.3
372,Omo Ghetto: The Saga,omo ghetto child ghetto franchis tell stori twin sister lead separ live reunit seri dramat twist,2020,110,"['comedy', 'action', 'drama']",[],7.5
373,Ari Eldjárn: Pardon My Icelandic,comedian ari eldjárn poke fun nordic rivalri hollywood take thor whim toddler,2020,54,['comedy'],['IS'],
374,Showtime 1958,true stori behind icon selamat hari raya song written  p ramle jamil sulong varieti show organis collect fund fellow perform friend lost job studio,2020,110,['drama'],['MY'],5.6
375,One-Way to Tomorrow,two stranger meet journey ankara izmir although rough start relationship take differ path realiz confront would like clean slate get know,2020,90,"['comedy', 'romance', 'drama']",['TR'],5.6
376,Malibu Rescue: The Next Wave,it summer everyon favorit junior rescuer flounder back tower  intern junior rescu championship head southern california eye entir planet malibu beach team usa fall victim bout food poison it tyler dylan eric lizzi gina repres countri world extrem lifeguard challeng,2020,70,"['comedy', 'family', 'action']",['US'],4.8
377,Kaali Khuhi,restless spirit curs punjab villag histori femal infanticid town fate lie hand  old girl shivangi,2020,90,"['thriller', 'horror', 'drama']",['IN'],3.5
378,George Lopez: We'll Do It for Half,comedian georg lopez tackl futur past latinx cultur america touch immigr tough relat age much,2020,51,['comedy'],['US'],5.7
379,Dark Forces,search sister renegad crimin seek answer sordid hotel encount sinist guest romanc mysteri waitress,2020,81,"['horror', 'thriller', 'action']",['MX'],2.7
380,Bhangra Paa Le,jaggi come punjabi background aspir take popular punjabi danc form bhangra intern platform passion work toward dream meet colleg rival simi compet win intern danc competit,2020,131,"['music', 'comedy', 'drama']",['IN'],6.2
381,Milestone,soon veteran driver ghalib truck touch  kilomet mark  record compani  struck sudden pain back ghalib struggl ach existenti threat begin overwhelm ask train young new driver,2020,98,['drama'],['IN'],6.6
382,Krishna and His Leela,torn past present girlfriend confus bachelor indecis spin web lie cheat struggl commit,2020,125,"['comedy', 'romance']",[],5.6
383,A Go! Go! Cory Carson Halloween,cori chrissi freddi hunt kingsiz candi bar halloween treat worth trek spooki side town,2020,21,"['animation', 'family', 'horror']",[],6.4
384,A Go! Go! Cory Carson Christmas,familiarlook stranger crash without memori cori help rememb magic christma save holiday everyon,2020,21,"['animation', 'family']",['US'],6.1
385,Namaste Wahala,nigerian woman indian man wont let cultur differ get way romanc,2020,106,"['comedy', 'drama', 'romance']",['NG'],5.1
386,Guillermo Vilas: Settling the Score,forti year argentinean sportsman guillermo vila tenni legend tireless demand offici rank  revis order final recogn best player world eduardo puppo sport journalist make vila demand fought ten year power sport corpor prove vila inde unfair displac top world tenni,2020,94,"['documentation', 'sport']",['AR'],7.1
387,The Beginning of Life 2: Outside,genuin connect children natur revolution futur discoveri still possibl world major urban center new chapter begin life reveal transform power concept,2020,92,['documentation'],['BR'],8.0
388,Soulmate,romant film present love stori sweet bitter love found amidst clash troubl,2020,106,['drama'],['EG'],
389,Citation,bright student nigeria take academ establish report popular professor tri rape base real event,2020,151,"['thriller', 'drama']",['NG'],6.1
390,Dogwashers,narco past prime refus pay debt upstart secret stash money save men guess garden found,2020,107,"['crime', 'drama', 'comedy']","['AR', 'CO']",5.8
391,Small Chops,busi mogul hire exot dancer weekend entertain quick morph messi situat full misunderstand,2020,98,['drama'],['NG'],3.0
392,Sol Levante,young warrior familiar search sacr place said fulfil wish best anger ancient guardian spirit,2020,4,"['fantasy', 'scifi']",['JP'],
393,La Vocera,healer chosen heal ail countri spokeswoman la vocera one carri voic maria de jesú patricio first indigen woman aspir presid mexico journey also tell stori behind indigen govern council fight preserv natur new way understand progress world today,2020,82,['documentation'],['MX'],7.2
394,Fan Girl,starstruck girl sneak actor hous discov horrifi truth idol,2020,100,['drama'],['PH'],6.6
395,Who's the Boss,narrat stori young ambiti employe tri work way top keep devalu decid take bold step end posit deserv without love long time,2020,105,"['comedy', 'romance']",[],5.7
396,The Netflix Afterparty: The Best Shows of The Worst Year,david spade fortun feimster london hugh welcom guest tiger king emili pari queen gambit,2020,59,['documentation'],['US'],
397,All Because of You,fall guest unsuspect hotel staff becom embroil hostag scheme discov true love unlik place,2020,101,"['romance', 'comedy', 'action']",['MY'],3.9
398,Urzila Carlson: Overqualified Loser,standup comedian urzila carlson keep crowd roar thought recast biggest loser sex tape regret box wine hangov,2020,62,['comedy'],[],6.3
399,From Stress to Happiness,alejandro ordinari man year  uniqu opportun travel close way along buddhist monk live  year himalaya accompani recogn master tibetan buddhism,2020,60,['documentation'],[],6.3
400,You Are My Home,drama follow relationship heartbroken woman young immigr girl lost mother border come togeth christma,2020,92,['family'],['US'],
401,Jai Mummy Di,jai mummi di lightheart famili comedi portray trial tribul coupl undergo due dynam respect mother,2020,103,"['comedy', 'drama', 'romance']",['IN'],3.7
402,One Day We'll Talk About Today,three sibl live happylook famili one chang get warn parent prompt rebellion three sibl led discoveri secret great trauma famili,2020,121,"['drama', 'family', 'music', 'documentation']",['ID'],7.4
403,Perfume Imaginary Museum “Time Warp”,world stay home brought concert onlin immers candysweet cut edg warp,2020,53,['music'],['JP'],6.5
404,Mauricio Meirelles: Generating Chaos,hes  go  scath funni view fatherhood marriag societi let maurício meirell give tour chaotic mind,2020,63,['comedy'],['BR'],
405,Giving Voice,everi year thousand high schooler enter august wilson monologu competit chanc perform broadway film follow student examin wilson charact speak new generat inspir listen word find voic,2020,90,['documentation'],['US'],
406,Mariposa,iqbal angga yunanda like mariposa butterfli acha adhisti zara time someon approach alway run away acha determin win iqbal man known handsom smart yet cold,2020,117,"['comedy', 'drama', 'romance']",[],6.9
407,Kedibone,exot beauti sotho girl kedibon manamela choos live youth fast lane veil loyal childhood boyfriend eye bounc good girl township girl high end johannesburg street dark threat loom day news kedibon escapad reach young man,2020,94,['drama'],['ZA'],4.5
408,London Hughes: To Catch A D*ck,london hugh sauciest comedian come uk take us brilliant bold tour dck catch histori,2020,60,['comedy'],['US'],4.7
409,Milea,year teen romanc milea nowadult dilan tell version love stori high school reunion bring back togeth,2020,99,"['drama', 'romance']",['ID'],6.1
410,Furtive,park ranger pablo silva remak life new destin forgotten troubl place want go pereyra iraola park soon appar tranquil discov network poacher traffc hoax old hunter instinct aris hide everyon except,2020,84,['thriller'],['AR'],5.1
411,Illegal Woman,immigr lawyer nigerian woman caught ring corrupt team uncov truth behind suspici death detent center,2020,119,"['drama', 'crime', 'european']",['ES'],6.1
412,Not a Game,documentari offer honest look fraught complex relationship video game perspect gamer concern parent,2020,32,"['documentation', 'drama']",['ES'],
413,Leslie Jones: Time Machine,tri seduc princ battl sleep apnea lesli jone trace evolut adult joy raw outrag standup special,2020,66,['comedy'],[],
414,The Magic School Bus Rides Again: The Frizz Connection,lightn split magic school bus three piec scatter class across globe differ version ms frizzl aboard bus,2020,44,"['animation', 'family']",['US'],
415,Seriously Single,dineo definit serial monogamist date fall love fall love get marri never get marri alway end dump meet lunga sibiya seem man shes wait whole life man share valu come love relationship think  accident find man busi plan forev plan forev someon els messi breakup lunga commitmentphob besti noni help dineo face dread life singl woman forc move lunga apart dineo seek refug noni let go anoth fail relationship hard dineo lowest point noni encourag dineo enjoy spoil singledom fun meet new peopl becom person intimid notion dineo hasnt singl year noni happi guid togeth take citi night life storm love difficult thing avoid noni unexpect find fall unlik man dineo struggl sidestep trap romant flaw complic lunga realis mistak hes made declar undi love dineo want back dineo strong enough honour new version fear loneli run back lunga arm,2020,107,"['comedy', 'romance']",['ZA'],4.4
416,Four Sisters Before the Wedding,discov parent marriag brink end salazar sibl scheme bring back togeth time  anniversari prequel four sister wed,2020,116,"['comedy', 'drama']",[],6.2
417,Girl's Revenge,birthday parti sex video film without consent ren licha girl video clip circul among student licha mock bulli result wu yunheng transfer student went parti licha cannot stand much licha suffer  determin find truth behind incid fight best friend howev get closer truth shatter peac school,2020,81,['drama'],['TW'],5.7
418,Velvet Colección: Grand Finale,christma  upcom sale velvet bring former current staff togeth madrid good memori second chanc new begin,2020,82,"['comedy', 'romance']","['US', 'ES']",7.2
419,The Claudia Kishi Club,asian american creativ pay passion tribut icon stereotypebust babysitt club charact heartfelt documentari short,2020,17,['documentation'],['US'],
420,A Trash Truck Christmas,santa crashland junkyard christma eve hank trash truck anim friend hand rescu holiday everyon,2020,28,"['action', 'family', 'animation', 'comedy']",['US'],5.5
421,RattleSnake: The Ahanna Story,ahanna young gentleman decid rob life alway want dreamt assembl group men call armada sever differ skill carri seri spectacular heist thing take swift uturn gang sudden find better enemi side,2020,135,['drama'],[],4.7
422,This Lady Called Life,becom chef aiy greatest desir young struggl singl mother abandon famili settl defeat fight odd becom chef dream question,2020,120,['drama'],['NG'],6.7
423,Andre and His Olive Tree,chef andré chiang return michelin star public declar return root  year would make perfectionist defin success haunt night  follow chef andré week offici close restaur chart emot journey dive nostalg element life first fell love cook result mother influenc challeng face first learnt cook franc tell stori passion determin individu readi next season life,2020,104,['documentation'],['SG'],6.7
424,Go! Go! Cory Carson: The Chrissy,carson kid win talent show danc cori creat chrissi catch littl sister get attent,2020,42,"['animation', 'family']","['US', 'FR', 'JP']",
425,Kaamyaab,human drama base interest premis season charact actor decid come retir begin quest record sort elus  role one shall rememb forev,2020,109,"['comedy', 'drama']",['IN'],
426,Santana,two brother — one narcot agent general — final discov ident drug lord murder parent decad ago may kill captur bad guy,2020,106,"['action', 'crime', 'drama']","['ZA', 'AO']",3.8
427,Hunter in the Blue Side of Manchester,honor father dilig colleg graduat take daunt goal becom report english premier leagu soccer club,2020,89,['drama'],['ID'],5.7
428,Tarung Sarung,wealthi spoil young man find someth fight fall love environment activist protest famili busi,2020,115,"['drama', 'action', 'sport', 'thriller']",['ID'],5.9
429,A Go! Go! Cory Carson Summer Camp,cori spend summer camp friendship best friend freddi jealousi flare freddi bring cousin rosi along ride,2020,20,['animation'],['US'],
430,True: Wuzzle Wegg Day,spring sprung rainbow citi wuzzl wegg day right around corner bartlebi convinc weggsteal monster loos,2020,23,['animation'],['CA'],
431,Yeh Ballet,discov eccentr ballet master two gift underprivileg mumbai teen face bigotri disapprov pursu danc dream,2020,117,['drama'],['IN'],7.5
432,Andhaghaaram,blind librarian dispirit cricket desol psychiatrist seek retribut releas live overlap eeri influenc,2020,171,"['thriller', 'horror']",['IN'],7.6
433,Wave of Cinema: Filosofi Kopi,follow singer filosofi kopi soundtrack concert talk coffe life chang caus,2020,90,"['documentation', 'music']",['ID'],
434,Ludo,ludo butterfli effect despit chao crowd world live inextric connect resurfac sex tape rogu suitcas money four wild differ stori overlap whim fate chanc one eccentr crimin,2020,150,"['crime', 'comedy', 'drama', 'action']",['IN'],7.6
435,Super Monsters: The New Class,new class pintsiz preschool arriv pitchfork pine super monster take superpow next level  purpl room,2020,24,['animation'],['CA'],
436,Mujeres arriba,three friend seek entertain fieri sexlif partner,2020,100,"['comedy', 'romance']",['CL'],3.8
437,Asura Guru,shakti becom obsess money childhood goe becom techsavvi thief howev becom chang man due certain circumst cop nab,2020,120,"['action', 'crime', 'thriller']",['IN'],3.2
438,Horrid Henry's Gross Day Out,world collid henri make plan spend saturday sofa watch gross class zero marathon â€” favorit charact come life,2020,61,"['family', 'animation', 'action', 'comedy']",['GB'],5.9
439,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,icc women  world cup  landmark event histori cricket women sport icc partner netflix captur action excit emot event documentari,2020,59,"['documentation', 'sport']",['AU'],6.0
440,Dad Wanted,thrillseek tween girl mom forbid enter bmx race cast actor noth lose play approv dad,2020,102,"['drama', 'family', 'comedy']",['MX'],5.7
441,Rooting for Roona,rural india child hydrocephalus get chanc lifechang surgeri photo go viral documentari chart journey,2020,40,['documentation'],['IN'],
442,Unroyal,rude arrog princess find reli gatekeep terribl accid may enough make chang way,2020,97,"['drama', 'comedy', 'romance']",['NG'],
443,David A. Arnold Fat Ballerina,stand comedi special featur david arnold,2020,60,['comedy'],['US'],7.3
444,#FriendButMarried 2,ayu ditto final transit best friend newlyw quick pregnanc creat uncertainti futur young marriag,2020,104,"['drama', 'comedy', 'romance']",['ID'],6.9
445,Elf Pets: Santa's Reindeer Rescue,almost christma santa test flight run troubl elf shelf crew ador elf pet reindeer santa gang trust scout elf friend help find answer late join santa cast whimsic charact anim christma special full toetap humor heart work togeth save holiday season discov power love,2020,26,['animation'],[],
446,True: Rainbow Rescue,,2020,23,['animation'],['US'],
447,Spirit Riding Free: Ride Along Adventure,join lucki friend interact mission save maricela belov mare greedi hors thiev whove taken captiv wild herd,2020,22,"['animation', 'comedy', 'action', 'family', 'western', 'drama']",['US'],6.1
448,Anelka: Misunderstood,bad boy footbal genius fame french footbal nicola anelka controversi legaci examin unflinch documentari,2020,94,"['documentation', 'sport']",['FR'],6.4
449,Amit Tandon: Family Tandoncies,death romanc marriag injustic modernday parent amit tandon share wisdom wisecrack battlescar famili guy,2020,72,['comedy'],['IN'],7.1
450,Dear Affy,engag coupl hit number speed bump road matrimoni includ major career complic question fidel,2020,126,"['romance', 'comedy']",['NG'],5.2
451,Death Can Wait,juan pablo upon learn go die decid steal mafia spend everi penni europ javier friend thus humbl employe embark cost fun journey complic monica cowork,2020,91,['comedy'],['CO'],4.6
452,Love Like the Falling Rain,fear reject young man struggl declar feel best friend soon fall anoth man — fate incid,2020,86,"['drama', 'romance', 'fantasy']",['ID'],4.7
453,Kilometers and Kilometers,debtridden man reluct agre drive american tourist around india stark differ lead bickering… unexpect bond,2020,129,"['action', 'drama', 'comedy']",['IN'],6.3
454,One Take,member thai girl group  share up down prepar  singl senbatsu general elect,2020,85,"['documentation', 'music', 'drama']",['DE'],5.9
455,Love and Fury,filmmak sterlin harjo follow nativ artist year navig career us abroad film explor immens complex artist face concern ident nativ artist well push nativ art postcoloni world,2020,93,['documentation'],[],6.6
456,Maniyarayile Ashokan,unlucki horoscop doesnt bode well futur wife earnest bachelor goe surpris length get famili hes alway want star align,2020,110,"['drama', 'comedy', 'romance']",['IN'],4.7
457,Gone,alex thoma bradburri experi seri strang event instal monitor olivia room,2020,15,"['horror', 'drama']",['AU'],7.4
458,Quam's Money,sequel new money quam secur guard turn multimillionair live good life fortun fall victim fraud,2020,114,['crime'],['NG'],
459,Fukrey Boyzzz: Space Mein Fukrapanti,delhi boy go space,2020,74,"['animation', 'comedy', 'family']",[],7.8
460,Si Doel the Movie 3,return sarah son dul jakarta welcom happili doel famili also make zaenab sarah doel confront decis choic,2020,93,"['drama', 'romance']",[],6.5
461,Zulu Man in Japan,documentari south african rapper nasti c hit stage street tokyo introduc citi sight sound cultur,2020,44,['documentation'],['ZA'],
462,Super Monsters: Dia de los Monsters,super monster celebr día de los muerto vida hometown magic famili new monster friend spooktacular parad,2020,25,['animation'],"['US', 'CA']",
463,"Blue, Painful, and Brittle",two outsid colleg student set secret societi circl moai aim chang world one day one disappear,2020,118,['action'],['JP'],
464,Sky Tour: The Movie,prepar perform documentari showcas vietnames pop idol sơn tùng mtp passion behind sky tour concert,2020,94,"['music', 'documentation']",[],5.5
465,Generasi 90an: Melankolia,devast loss love one abbi form bond sister best friend struggl move,2020,94,['drama'],['ID'],
466,Mutiny of the Worker Bees,omar get offic job relotech becom bosss favourit great it,2020,100,['comedy'],['MX'],4.1
467,I'm Glad I Did,metin akpınar theater stage sinc  addit tv seri movi new generat abl meet devekuşu kabar six play could record written today watch tast uniqu act current play act accompani talent intellectu background im glad transfer year metin akpinar brought narrat hand offer differ approach turkey recent histori leav archiv futur refresh memori,2020,123,['documentation'],['TR'],8.4
468,3 Logical Exits,sociolog medit differ exit young palestinian choos order cope life refuge camp,2020,15,['documentation'],"['DK', 'LB', 'GB']",
469,David Batra: Elephant in The Room,swedish comedian david batra get person play detail perk pitfal marri recent resign polit leader,2020,77,['comedy'],['SE'],5.9
470,Voiceless,hausa featur film stori love power dream midst violenc terror nigeria northeast base eyewit account follow stori bright promis girl salma held captiv dare terrorist group along  schoolmat despit seem hopeless realiti refus give huge dream struggl regain freedom realiz dream lead unfathom pain death,2020,120,['thriller'],[],6.7
471,40 Sticks,group prison trap crash prison bus strive stay aliv realiz mysteri killer lurk shadow,2020,93,['thriller'],[],5.7
